"ids","pcomplex","SUBUNIT-COMPOSITION","ECK","associated_gene_names"
"2131","CPLX0-8004","2*DSBG-MONOMER","ECK0598","dsbG"
"1358","CPLX0-245","10*EG11384-MONOMER,2*EG11385-MONOMER","ECK0599","ahpC"
"862","CPLX0-245","10*EG11384-MONOMER,2*EG11385-MONOMER","ECK0600","ahpF"
"769","CPLX0-3939","2*G6334-MONOMER","ECK0601","uspG"
"2220","CITLY-CPLX","6*ACPSUB-MONOMER,6*CITTRANS-MONOMER,6*CITRYLY-MONOMER","ECK0609","citE"
"2220","ACECITLY-CPLX","6*ACPSUB-MONOMER,6*CITTRANS-MONOMER,6*CITRYLY-MONOMER","ECK0609","citE"
"2220","CITRYLY-CPLX","6*CITRYLY-MONOMER","ECK0609","citE"
"2140","CITLY-CPLX","6*ACPSUB-MONOMER,6*CITTRANS-MONOMER,6*CITRYLY-MONOMER","ECK0610","citD"
"2140","ACPSUB-CPLX","6*ACPSUB-MONOMER","ECK0610","citD"
"2140","ACECITLY-CPLX","6*ACPSUB-MONOMER,6*CITTRANS-MONOMER,6*CITRYLY-MONOMER","ECK0610","citD"
"3524","CPLX0-1581","2*EG12180-MONOMER","ECK0615","pagP"
"3624","CPLX0-8223","2*EG12179-MONOMER","ECK0616","cspE"
"2644","TATABCE-CPLX","1*G7808-MONOMER,1*EG11479-MONOMER,1*EG11305-MONOMER,1*TATA","ECK0620","tatE"
"1563","CPLX0-782","2*EG11306-MONOMER","ECK0621","lipA"
"3447","CPLX0-3801","3*EG10245-MONOMER,1*EG11500-MONOMER,1*EG11412-MONOMER","ECK0633","holA"
"3447","CPLX0-3803","3*EG11505-MONOMER,3*EG10243-MONOMER,3*EG10238-MONOMER,1*EG11412-MONOMER,1*EG11500-MONOMER,5*EG10245-MONOMER,4*EG10242-MONOMER,4*EG11414-MONOMER,4*EG11413-MONOMER","ECK0633","holA"
"2007","ABC-13-CPLX","1*G6359-MONOMER,1*GLTK-MONOMER,1*GLTJ-MONOMER,2*GLTL-MONOMER","ECK0645","gltL"
"2100","ABC-13-CPLX","1*G6359-MONOMER,1*GLTK-MONOMER,1*GLTJ-MONOMER,2*GLTL-MONOMER","ECK0646","gltK"
"2192","ABC-13-CPLX","1*G6359-MONOMER,1*GLTK-MONOMER,1*GLTJ-MONOMER,2*GLTL-MONOMER","ECK0647","gltJ"
"2960","ASNSYNB-CPLX","2*ASNSYNB-MONOMER","ECK0662","asnB"
"1520","NAG6PDEACET-CPLX","4*NAG6PDEACET-MONOMER","ECK0665","nagA"
"1611","GLUCOSAMINE-6-P-DEAMIN-CPLX","6*GLUCOSAMINE-6-P-DEAMIN-MONOMER","ECK0666","nagB"
"2279","CPLX-167","2*NAGE-MONOMER","ECK0667","nagE"
"2659","CPLX0-7639","2*PD00260","ECK0671","fur"
"1702","ORNDECARBOXDEG-CPLX","2*ORNDECARBOXDEG-MONOMER","ECK0681","speF"
"324","KDPD-CPLX","2*KDPD-MONOMER","ECK0683","kdpD"
"2465","ATPASE-1-CPLX","1*MONOMER0-12,1*EG10513-MONOMER,1*KDPB-MONOMER,1*EG10515-MONOMER","ECK0684","kdpC"
"3619","ATPASE-1-CPLX","1*MONOMER0-12,1*EG10513-MONOMER,1*KDPB-MONOMER,1*EG10515-MONOMER","ECK0685","kdpB"
"2557","ATPASE-1-CPLX","1*MONOMER0-12,1*EG10513-MONOMER,1*KDPB-MONOMER,1*EG10515-MONOMER","ECK0686","kdpA"
"3316","ATPASE-1-CPLX","1*MONOMER0-12,1*EG10513-MONOMER,1*KDPB-MONOMER,1*EG10515-MONOMER","ECK0687","kdpF"
"3707","CPLX0-1863","6*G6379-MONOMER","ECK0699","ybgI"
"420","CITRATE-SI-SYNTHASE","6*CITSYN-MONOMER","ECK0709","gltA"
"39","SUCC-DEHASE","1*SDH-FLAVO,1*SDH-FE-S,1*SDH-MEMB1,1*SDH-MEMB2","ECK0710","sdhC"
"39","CPLX0-8160","3*SDH-MEMB2,3*SDH-MEMB1,3*SDH-FE-S,3*SDH-FLAVO","ECK0710","sdhC"
"112","SUCC-DEHASE","1*SDH-FLAVO,1*SDH-FE-S,1*SDH-MEMB1,1*SDH-MEMB2","ECK0711","sdhD"
"112","CPLX0-8160","3*SDH-MEMB2,3*SDH-MEMB1,3*SDH-FE-S,3*SDH-FLAVO","ECK0711","sdhD"
"194","SUCC-DEHASE","1*SDH-FLAVO,1*SDH-FE-S,1*SDH-MEMB1,1*SDH-MEMB2","ECK0712","sdhA"
"194","CPLX0-8160","3*SDH-MEMB2,3*SDH-MEMB1,3*SDH-FE-S,3*SDH-FLAVO","ECK0712","sdhA"
"263","SUCC-DEHASE","1*SDH-FLAVO,1*SDH-FE-S,1*SDH-MEMB1,1*SDH-MEMB2","ECK0713","sdhB"
"263","CPLX0-8160","3*SDH-MEMB2,3*SDH-MEMB1,3*SDH-FE-S,3*SDH-FLAVO","ECK0713","sdhB"
"329","2OXOGLUTARATEDEH-CPLX","12*E1O-MONOMER,24*E2O-MONOMER,2*E3-MONOMER","ECK0714","sucA"
"329","E1O","12*E1O-MONOMER","ECK0714","sucA"
"482","SUCCCOASYN","2*SUCCCOASYN-ALPHA,2*SUCCCOASYN-BETA","ECK0716","sucC"
"3691","SUCCCOASYN","2*SUCCCOASYN-ALPHA,2*SUCCCOASYN-BETA","ECK0717","sucD"
"3694","PC00103","2*PD01103","ECK0718","mngR"
"3392","CYT-D-UBIOX-CPLX","1*CYDA-MONOMER,1*CYDB-MONOMER,1*MONOMER0-2663","ECK0721","cydA"
"496","CYT-D-UBIOX-CPLX","1*CYDA-MONOMER,1*CYDB-MONOMER,1*MONOMER0-2663","ECK0722","cydB"
"3280","CYT-D-UBIOX-CPLX","1*CYDA-MONOMER,1*CYDB-MONOMER,1*MONOMER0-2663","ECK0723","ybgT"
"2008","CPLX0-2201","1*EG10684-MONOMER,1*EG11007-MONOMER,1*EG11008-MONOMER,1*EG11011-MONOMER,1*EG11010-MONOMER","ECK0726","tolQ"
"2101","CPLX0-2201","1*EG10684-MONOMER,1*EG11007-MONOMER,1*EG11008-MONOMER,1*EG11011-MONOMER,1*EG11010-MONOMER","ECK0727","tolR"
"2193","CPLX0-2201","1*EG10684-MONOMER,1*EG11007-MONOMER,1*EG11008-MONOMER,1*EG11011-MONOMER,1*EG11010-MONOMER","ECK0728","tolA"
"412","CPLX0-2201","1*EG10684-MONOMER,1*EG11007-MONOMER,1*EG11008-MONOMER,1*EG11011-MONOMER,1*EG11010-MONOMER","ECK0730","pal"
"1741","CPLX0-7719","2*QUINOLINATE-SYNTHA-MONOMER","ECK0739","nadA"
"3037","AROG-CPLX","4*AROG-MONOMER","ECK0743","aroG"
"3639","PHOSGLYCMUTASE","2*GPMA-MONOMER","ECK0744","gpmA"
"2319","GALACTURIDYLYLTRANS-CPLX","2*GALACTURIDYLYLTRANS-MONOMER","ECK0747","galT"
"2413","UDPGLUCEPIM-CPLX","2*UDPGLUCEPIM-MONOMER","ECK0748","galE"
"1967","CPLX0-2541","2*MONOMER0-185","ECK0750","modE"
"2870","ABC-19-CPLX","1*MODC-MONOMER,2*MODB-MONOMER,1*MODA-MONOMER","ECK0752","modA"
"2059","ABC-19-CPLX","1*MODC-MONOMER,2*MODB-MONOMER,1*MODA-MONOMER","ECK0753","modB"
